school,school_id,certExpirationDate,position,trainerOneFullName,trainerTwoFullName,employeeHash,observedDate
ADDAMS,609772,06/13/2023,School Security Officer,,,d0f0e7d03988bd523339128887bed29b84d6c0437acd022871eceff88f325102,2023-08-16
ADDAMS,609772,In Progress,Special Ed Classroom Assist,,,90f09fb0ba152615e76d80354cfa709de86a62812f8da791d95e4a994e509016,2023-08-16
ADDAMS,609772,06/13/2023,School Security Officer,,,53c4cc2739761fc0d777a59e49893295209bd4f38c04a2e718fef8c5b69b7985,2023-08-16
ADDAMS,609772,07/18/2023,Special Ed Classroom Assist,,,470f925c16a077c5477aadda3567e5fbe6ef34be1974957773cc3d16e1cf7344,2023-08-16
ADDAMS,609772,05/08/2023,Special Ed Classroom Assist,,,27222480c844a4ab2767aa3336b816e4e4dafa1ff520bfc55982a98f615adc9f,2023-08-16
AIR FORCE HS,610513,08/01/2023,School Security Officer,,,337f9c433b9bda181a6000299ab61f560de531bbe03a0f33a20f40b0d20a94b1,2023-08-16
AIR FORCE HS,610513,05/30/2023,Youth Intervention Specialist,,,6c126d9055e308368dcb89190a14175a3fa78c1b6855c80e017d9245e7df6d71,2023-08-16
AIR FORCE HS,610513,05/01/2023,Special Ed Classroom Assist,,,501d89197fd264eac9add8b62878b228191cc2135e01aeb6a6bd9c909093c93b,2023-08-16
AIR FORCE HS,610513,06/14/2023,School Security Officer,,,f0151123e74ffe5e9372d21d52e4bc3d059c76d7533467466c49f3a53eaf36c6,2023-08-16
ALBANY PARK,610212,08/09/2023,Senior Security Officer,,,0651ddef2e3e11266b6c307a5940afd713df9145eb4fbfe71217c267cf5227b5,2023-08-16
ALBANY PARK,610212,07/24/2023,Assistant Principal,,,2cc06a5b5adc6ea91024b26571ec7aa83d42b2c2ba0a7b4e77c2769c09b58c71,2023-08-16
ALBANY PARK,610212,07/25/2023,Principal ,,,6dfbc9e8352a360c450c489919a84c1a33d3e574c3c4895b3a98e33cf0c68ece,2023-08-16
ALBANY PARK,610212,07/27/2023,School Social Worker,,,95d00d28372f6e538d5c50e3e976f20e2ea440354c397bd1862a07e56b764e6c,2023-08-16
ALCOTT ES,609774,06/27/2023,Principal,,,bfd06cf9cfc84558232beb27dc9a90157f9f2e14424b0978e11ba86154966f68,2023-08-16
ALCOTT ES,609774,08/09/2023,School Security Officer,,,9d2e1192fbc453cae8a92a2dfe1a9ae3da1b0782a2b7b229fefec546997d5fd3,2023-08-16
ALCOTT ES,609774,06/20/2023,School Security Officer,,,3264f7025dde8637d5f45fec36b31c6e34f5450dba90c2f6e56a8bf1a9d6bc91,2023-08-16
ALCOTT ES,609774,05/11/2023,School Counselor,,,fc6be79e726978e6d6ce087356da62422c03f7b8f2e5eea0a0b0b06748807149,2023-08-16
ALCOTT HS,610524,06/28/2023,Senior Security Officer,,,e117b5e5ce7badae9a7c048b177e2c0bd4a6cda587fe642a4826218b4e7eedd1,2023-08-16
ALCOTT HS,610524,05/16/2023,Case Manager,,,1404441e5cf8d4c1067d081d9d972006a922e3ab0c1e4556d7a470a9c78b607b,2023-08-16
ALCOTT HS,610524,04/17/2023,Principal,,,c5df41b8c048a11a06296c9e533708d2c6b394b2681da35eed7eac5526c101b6,2023-08-16
ALCOTT HS,610524,09/26/2022,School Security Officer,,,443c428f21825378cb14142b9730afd9497c3c46e781a0fcd9965e342e66fa3b,2023-08-16
ALDRIDGE,609848,08/08/2023,Instructor Assistant,,,8d836027df538e69d662005e03ea0e9b51059a8811fcbe51382fb9c083691808,2023-08-16
ALDRIDGE,609848,05/10/2023,Youth Intervention Specialist,,,9eba8f0e9cf51b05951c8addeb6ca89f136e23b13e2315b5e56ee47971a87aa0,2023-08-16
ALDRIDGE,609848,08/08/2023,School Security Officer,,,06db295ce4702d78100abe751a0cda71a3a84a71b898cca2269e708f5cb648d0,2023-08-16
AMUNDSEN HS,609695,08/10/2022,School Security Officer,,,4019f39352197db69a86f478cd5d0e083dbeec3b65d5e8b15b8f3ad8bea9d7f3,2023-08-16
AMUNDSEN HS,609695,06/20/2023,School Security Officer,,,cef454b469a180c124289dc182bad75a64812d02de1aca87bfd5985ce1c031d7,2023-08-16
AMUNDSEN HS,609695,06/17/2022,School Security Officer,,,457a74d67ac53e3cd6b8e4b97d25e785e7f53b13ddc9eafb541fe649b1b47574,2023-08-16
AMUNDSEN HS,609695,05/30/2023,Regular Teacher,,,8871c436a7dcf5abf0e2758e16662b4b306ffd8042c8d5a46ea494cfba9a234b,2023-08-16
AMUNDSEN HS,609695,06/15/2023,School Security Officer,,,f0edaefd8f839bbcd59d1df1126cc2a3ca32bea0531ab5c408c56fa2553dce0b,2023-08-16
AMUNDSEN HS,609695,06/27/2022,School Security Officer,,,683a6581b25a1611be5564998ea39e33d6e5eeb148ff7821e9813bbb6a121a7e,2023-08-16
AMUNDSEN HS,609695,08/07/2023,School Security Officer,,,a573fb90c937321ba753781bd7889ff51570e083d11ec4749d33c8be79ad10c4,2023-08-16
AMUNDSEN HS,609695,06/21/2023,School Security Officer,,,ea79cb87736d0db5f7aa75fa14248ddbae95c7fb8271b74df4625b85a8872f0a,2023-08-16
AMUNDSEN HS,609695,06/15/2022,School Security Officer,,,8453ff5d6ee62595c37a34a351a5d1db5c7ed8223466eea33cd78998ac889954,2023-08-16
AMUNDSEN HS,609695,06/17/2022,Senior Security Officer,,,0b6d1e6a34a5ea911b1aff39d6b09e3addb31dfc06fa3c8bb57f8f28b716ae41,2023-08-16
AMUNDSEN HS,609695,In Progress,Regular Teacher,,,143fba901920b8724bc8729579002e99401d492971b69a9a88a53b5939575676,2023-08-16
AMUNDSEN HS,609695,06/20/2023,School Security Officer,,,53d4d9c24c756217d3280f4d8d5469f1cebe11245bf8bb8062bd0c183c5251e1,2023-08-16
ARIEL,609951,08/02/2023,Special Education Teacher,,,c4b79aabfb0f21d5b83944d4fbb639e00c6cc3b6c7cbd6f8a8cb2c5ade1e11ac,2023-08-16
ARIEL,609951,08/08/2023,Case Manager,,,ba1577f68016dc1f00ce4712e247fb1216d19c0ff242b1231871a820af693e57,2023-08-16
ARIEL,609951,08/02/2023,Special Ed Classroom Assist,,,efb67b3b3721e28700349a059610395a0e3781dbe57a8fc0acbb20b89c8a0290,2023-08-16
ARIEL,609951,08/01/2023,School Security Officer,,,cf2dae4ba35ea17390633f3fe710a96b905f683bb47da3d07c230eaaff47bf91,2023-08-16
ARIEL,609951,08/08/2023,Special Ed Classroom Assist,,,9b68e8f5415c3f618f7d69fc2806d4b727f1a0faf9ed70ee30363c5b48264931,2023-08-16
ARIEL,609951,03/17/2023,School Security Officer,,,39a8e4aa62ccf6ef4316443d6b9670103553e8358e2a36a09dc7a3e171f1acbd,2023-08-16
ARIEL,609951,08/01/2023,Senior Security Officer,,,4ea8677ec5ed2bbeaac79d9f324c81752082d4b5a09e27305c6c6aedbaa0754e,2023-08-16
ARIEL,609951,08/08/2023,Special Ed Classroom Assist,,,d29e5cf7037b0fbda93f141c2d2b847341918e54312b64d43ae78c32ecc3e73e,2023-08-16
ARMOUR,609777,06/15/2023,School Security Officer,,,0f7c7f3d5f9eaac9af61c5f636ddaff123e96e8430be2dd03d6b860955b26bdd,2023-08-16
ARMOUR,609777,08/10/2022,School Security Officer,,,6a20f29813485850afc5d79330130da846aa7ebd252bc95eb874ae52c9dc6da2,2023-08-16
